Time x[0] x[1] 
5846.6520431168 -1.2890163818 -0.0216764099 
5854.4475583860 0.6191162438 2.3675466460 
5862.2430736552 -1.2883996644 -0.0211248678 
5870.0385889244 0.6179150336 2.3677997774 
5877.8341041936 -1.2890108703 -0.0216714758 
5885.6296194628 0.6191055002 2.3675489117 
5893.4251347320 -1.2884051369 -0.0211297570 
5901.2206500013 0.6179256841 2.3677975347 
5909.0161652705 -1.2890054569 -0.0216666297 
5916.8116805397 0.6190949480 2.3675511369 
5924.6071958089 -1.2884105118 -0.0211345591 
5932.4027110781 0.6179361447 2.3677953319 
5940.1982263473 -1.2890001399 -0.0216618700 
5947.9937416165 0.6190845837 2.3675533225 
5955.7892568857 -1.2884157908 -0.0211392757 
5963.5847721549 0.6179464188 2.3677931683 
5971.3802874241 -1.2889949175 -0.0216571951 
5979.1758026933 0.6190744040 2.3675554691 
5986.9713179625 -1.2884209757 -0.0211439082 
5994.7668332318 0.6179565098 2.3677910432 
6002.5623485010 -1.2889897881 -0.0216526035 
6010.3578637702 0.6190644055 2.3675575774 
6018.1533790394 -1.2884260681 -0.0211484583 
6025.9488943086 0.6179664209 2.3677889560 
6033.7444095778 -1.2889847500 -0.0216480937 
6041.5399248470 0.6190545851 2.3675596481 
6049.3354401162 -1.2884310697 -0.0211529273 
6057.1309553854 0.6179761552 2.3677869060 
6064.9264706546 -1.2889798016 -0.0216436643 
6072.7219859238 0.6190449396 2.3675616820 
6080.5175011930 -1.2884359822 -0.0211573166 
6088.3130164623 0.6179857161 2.3677848924 
6096.1085317315 -1.2889749413 -0.0216393138 
6103.9040470007 0.6190354657 2.3675636795 
6111.6995622699 -1.2884408070 -0.0211616278 
6119.4950775391 0.6179951065 2.3677829147 
6127.2905928083 -1.2889701675 -0.0216350409 
6135.0861080775 0.6190261606 2.3675656415 
6142.8816233467 -1.2884455458 -0.0211658623 
6150.6771386159 0.6180043295 2.3677809722 
6158.4726538851 -1.2889654787 -0.0216308441 
6166.2681691543 0.6190170212 2.3675675685 
6174.0636844235 -1.2884502001 -0.0211700212 
6181.8591996928 0.6180133882 2.3677790643 
6189.6547149620 -1.2889608733 -0.0216267221 
6197.4502302312 0.6190080445 2.3675694611 
6205.2457455004 -1.2884547714 -0.0211741062 
6213.0412607696 0.6180222853 2.3677771904 
6220.8367760388 -1.2889563500 -0.0216226735 
6228.6322913080 0.6189992276 2.3675713200 
6236.4278065772 -1.2884592612 -0.0211781183 
6244.2233218464 0.6180310239 2.3677753498 
6252.0188371156 -1.2889519071 -0.0216186971 
6259.8143523848 0.6189905677 2.3675731458 
6267.6098676540 -1.2884636710 -0.0211820590 
6275.4053829233 0.6180396067 2.3677735420 
6283.2008981925 -1.2889475433 -0.0216147916 
6290.9964134617 0.6189820620 2.3675749390 
6298.7919287309 -1.2884680022 -0.0211859295 
6306.5874440001 0.6180480365 2.3677717664 
6314.3829592693 -1.2889432572 -0.0216109556 
6322.1784745385 0.6189737077 2.3675767003 
6329.9739898077 -1.2884722562 -0.0211897311 
6337.7695050769 0.6180563161 2.3677700224 
6345.5650203461 -1.2889390474 -0.0216071880 
6353.3605356153 0.6189655022 2.3675784302 
6361.1560508845 -1.2884764343 -0.0211934650 
6368.9515661538 0.6180644481 2.3677683095 
6376.7470814230 -1.2889349126 -0.0216034875 
6384.5425966922 0.6189574428 2.3675801292 
6392.3381119614 -1.2884805379 -0.0211971324 
6400.1336272306 0.6180724352 2.3677666270 
6407.9291424998 -1.2889308513 -0.0215998529 
6415.7246577690 0.6189495268 2.3675817980 
6423.5201730382 -1.2884845684 -0.0212007345 
6431.3156883074 0.6180802799 2.3677649745 
6439.1112035766 -1.2889268624 -0.0215962831 
6446.9067188458 0.6189417518 2.3675834370 
6454.7022341150 -1.2884885271 -0.0212042724 
6462.4977493843 0.6180879848 2.3677633514 
6470.2932646535 -1.2889229444 -0.0215927769 
6478.0887799227 0.6189341151 2.3675850469 
6485.8842951919 -1.2884924151 -0.0212077473 
6493.6798104611 0.6180955524 2.3677617573 
6501.4753257303 -1.2889190962 -0.0215893332 
6509.2708409995 0.6189266145 2.3675866280 
6517.0663562687 -1.2884962339 -0.0212111603 
6524.8618715379 0.6181029851 2.3677601915 
6532.6573868071 -1.2889153165 -0.0215859508 
6540.4529020763 0.6189192473 2.3675881809 
6548.2484173455 -1.2884999846 -0.0212145126 
6556.0439326148 0.6181102853 2.3677586536 
6563.8394478840 -1.2889116041 -0.0215826287 
6571.6349631532 0.6189120113 2.3675897062 
6579.4304784224 -1.2885036685 -0.0212178051 
6587.2259936916 0.6181174555 2.3677571430 
6595.0215089608 -1.2889079577 -0.0215793658 
6602.8170242300 0.6189049042 2.3675912043 
6610.6125394992 -1.2885072867 -0.0212210391 
6618.4080547684 0.6181244978 2.3677556594 
6626.2035700376 -1.2889043763 -0.0215761610 
6633.9990853068 0.6188979235 2.3675926757 
6641.7946005760 -1.2885108405 -0.0212242154 
6649.5901158453 0.6181314147 2.3677542022 
6657.3856311145 -1.2889008586 -0.0215730133 
6665.1811463837 0.6188910671 2.3675941209 
6672.9766616529 -1.2885143308 -0.0212273352 
6680.7721769221 0.6181382083 2.3677527709 
6688.5676921913 -1.2888974035 -0.0215699216 
6696.3632074605 0.6188843328 2.3675955403 
6704.1587227297 -1.2885177590 -0.0212303994 
6711.9542379989 0.6181448808 2.3677513651 
6719.7497532681 -1.2888940100 -0.0215668851 
6727.5452685373 0.6188777183 2.3675969345 
6735.3407838066 -1.2885211261 -0.0212334090 
6743.1362990758 0.6181514344 2.3677499843 
6750.9318143450 -1.2888906768 -0.0215639027 
6758.7273296142 0.6188712216 2.3675983038 
6766.5228448834 -1.2885244332 -0.0212363651 
6774.3183601526 0.6181578712 2.3677486281 
6782.1138754218 -1.2888874030 -0.0215609733 
6789.9093906910 0.6188648405 2.3675996487 
6797.7049059602 -1.2885276813 -0.0212392685 
6805.5004212294 0.6181641933 2.3677472960 
6813.2959364986 -1.2888841874 -0.0215580962 
6821.0914517678 0.6188585731 2.3676009696 
6828.8869670371 -1.2885308716 -0.0212421202 
6836.6824823063 0.6181704027 2.3677459877 
6844.4779975755 -1.2888810291 -0.0215552703 
6852.2735128447 0.6188524171 2.3676022670 
6860.0690281139 -1.2885340050 -0.0212449212 
6867.8645433831 0.6181765015 2.3677447027 
6875.6600586523 -1.2888779270 -0.0215524948 
6883.4555739215 0.6188463708 2.3676035413 
6891.2510891907 -1.2885370826 -0.0212476723 
6899.0466044599 0.6181824915 2.3677434405 
6906.8421197291 -1.2888748801 -0.0215497687 
6914.6376349983 0.6188404321 2.3676047928 
6922.4331502676 -1.2885401053 -0.0212503744 
6930.2286655368 0.6181883749 2.3677422008 
6938.0241808060 -1.2888718875 -0.0215470912 
6945.8196960752 0.6188345991 2.3676060221 
6953.6152113444 -1.2885430742 -0.0212530283 
6961.4107266136 0.6181941534 2.3677409832 
6969.2062418828 -1.2888689481 -0.0215444614 
6977.0017571520 0.6188288699 2.3676072295 
6984.7972724212 -1.2885459902 -0.0212556350 
6992.5927876904 0.6181998289 2.3677397872 
7000.3883029596 -1.2888660611 -0.0215418784 
7008.1838182288 0.6188232426 2.3676084154 
7015.9793334981 -1.2885488542 -0.0212581953 
7023.7748487673 0.6182054033 2.3677386126 
7031.5703640365 -1.2888632254 -0.0215393415 
7039.3658793057 0.6188177156 2.3676095801 
7047.1613945749 -1.2885516672 -0.0212607101 
7054.9569098441 0.6182108783 2.3677374588 
7062.7524251133 -1.2888604403 -0.0215368497 
7070.5479403825 0.6188122869 2.3676107241 
7078.3434556517 -1.2885544300 -0.0212631800 
7086.1389709209 0.6182162558 2.3677363256 
7093.9344861901 -1.2888577047 -0.0215344023 
7101.7300014593 0.6188069548 2.3676118477 
7109.5255167286 -1.2885571437 -0.0212656060 
7117.3210319978 0.6182215374 2.3677352126 
7125.1165472670 -1.2888550178 -0.0215319985 
7132.9120625362 0.6188017177 2.3676129513 
7140.7075778054 -1.2885598089 -0.0212679887 
7148.5030930746 0.6182267250 2.3677341194 
7156.2986083438 -1.2888523787 -0.0215296376 
7164.0941236130 0.6187965737 2.3676140352 
7171.8896388822 -1.2885624267 -0.0212703291 
7179.6851541514 0.6182318201 2.3677330456 
7187.4806694206 -1.2888497866 -0.0215273187 
7195.2761846898 0.6187915213 2.3676150998 
7203.0716999591 -1.2885649979 -0.0212726278 
7210.8672152283 0.6182368243 2.3677319910 
7218.6627304975 -1.2888472407 -0.0215250411 
7226.4582457667 0.6187865589 2.3676161454 
7234.2537610359 -1.2885675232 -0.0212748855 
7242.0492763051 0.6182417395 2.3677309551 
7249.8447915743 -1.2888447400 -0.0215228040 
7257.6403068435 0.6187816847 2.3676171725 
7265.4358221127 -1.2885700036 -0.0212771031 
7273.2313373819 0.6182465670 2.3677299377 
7281.0268526511 -1.2888422839 -0.0215206069 
7288.8223679203 0.6187768973 2.3676181812 
7296.6178831896 -1.2885724397 -0.0212792812 
7304.4133984588 0.6182513085 2.3677289384 
7312.2089137280 -1.2888398715 -0.0215184488 
7320.0044289972 0.6187721951 2.3676191719 
7327.7999442664 -1.2885748325 -0.0212814204 
7335.5954595356 0.6182559655 2.3677279569 
7343.3909748048 -1.2888375021 -0.0215163292 
7351.1864900740 0.6187675766 2.3676201450 
7358.9820053432 -1.2885771826 -0.0212835217 
7366.7775206124 0.6182605395 2.3677269928 
7374.5730358816 -1.2888351748 -0.0215142474 
7382.3685511508 0.6187630403 2.3676211008 
7390.1640664201 -1.2885794909 -0.0212855854 
7397.9595816893 0.6182650320 2.3677260459 
7405.7550969585 -1.2888328890 -0.0215122027 
7413.5506122277 0.6187585847 2.3676220395 
7421.3461274969 -1.2885817580 -0.0212876125 
